"id","name","is_main"
304,"Kho Dương Minh Châu",0
307,"Kho Nam Tân Uyên",0
310,"Kho Thuận An",0
313,"Kho Duyên Hải",0
316,"Kho Diên Khánh",0
319,"Kho Chư Prông",0
325,"Kho Chư Sê",0
328,"Kho Lâm Hà",0
331,"Kho Di Linh",0
334,"Kho Đạ Tẻh",0
337,"Kho Lăk",0
340,"Kho Lương Sơn",0
343,"Kho Sông Mã",0
346,"Kho Tuần Giáo",0
349,"Kho Quế Sơn ",0
352,"BC Lê Hồng Phong (HCM)",0
355,"BC Miếu Nổi (HCM)",0
358,"BC Quan Hoa (HN)",0
361,"BC Thụy Khuê (HN)",0
364,"BC Nơ Trang Long (HCM)",0
367,"Kho Mai Sơn",0
370,"Kho Hướng Hóa",0
373,"Kho Phong Điền",0
376,"Kho Phú Lộc",0
381,"Kho BẮC QUANG (HG)",0
389,"Kho Hiệp Hòa",0
393,"Kho Cửa Ông",0
396,"Kho Bắc Hà",0
401,"Kho Văn Bàn",0
406,"Kho Thọ Xuân",0
411,"Kho Bá Thước",0
416,"Kho Lang Chánh",0
421,"Kho Mường Lát",0
426,"Kho Quan Hóa (MT1)",0
431,"Kho Bản Phủ",0
436,"Kho Thuận Châu",0
441,"BC Văn Miếu (HN)",0
446,"Kho Phù Yên",0
451,"Kho Sìn Hồ",0
456,"Kho Phong Thổ",0
461,"Kho Văn Yên",0
471,"Kho Thuận Thành",0
476,"Kho Ninh Giang",0
486,"Kho Hàm Yên",0
491,"Kho Chiêm Hóa",0
501,"Kho Mường Tè",0
502,"Kho Ngô Quyền (MN18)",0
505,"Nội Bài - Tân Sơn Nhất",0
509,"Kho Mường Khương",0
513,"Sân Bay Nội Bài",0
517,"Sân Bay Đà Nẵng",0
521,"Sân Bay Cần Thơ",0
525,"Sân bay Cát Bi",0
529,"Sân bay Cam Ranh",0
533,"Sân bay Liên Khương",0
537,"Kho Gia Bình",0
541,"Kho Quế Võ",0
545,"Kho Tiên Du",0
549,"Kho Ý Yên",0
553,"Kho Liên Chiểu - Đà Nẵng",0
557,"Kho Ba Bể",0
561,"Kho Khoái Châu",0
565,"Kho Đại Từ",0
569,"Kho Định Hóa",0
581,"Kho Phù Ninh",0
585,"Kho Tx Phú Thọ",0
589,"Kho Đoan Hùng",0
593,"Kho Phúc Yên",0
597,"Kho Hữu Lũng",0
601,"Kho Văn Lãng",0
605,"Kho Than Uyên",0
609,"Kho Điện Biên Đông",0
613,"Kho Vĩnh Tường",0
617,"Kho Hàm Nghi (HN)",0
621,"BC Lê Trọng Tấn (HN)",0
625,"BC Vũ Tông Phan (HN)",0
629,"BC 1119 Giải Phóng (HN)",0
633,"BC Trần Quang Diệu (HN)",0
637,"Kho Trực Ninh",0
641,"Kho Thái Thụy",0
645,"Kho Tiền Hải",0
649,"Kho Nậm Pồ",0
653,"Kho Mường Nhé",0
657,"Kho Phù Lỗ (HN)",0
661,"BC 697 Giải Phóng (HN)",0
665,"Kho Thủy Nguyên",0
669,"Kho Yên Phong",0
673,"BC Quang Trung (HN)",0
677,"Kho Đại Lộc",0
681,"Kho Bình Sơn",0
685,"Kho Tiên Lãng",0
689,"Kho Vĩnh Bảo",0
693,"Kho Đông Triều",0
697,"Kho Hải Hà",0
701,"Kho Ân Thi",0
705,"Kho Phạm Văn Đồng - HN",0
709,"Kho An Dương",0
713,"Kho Giải Phóng 2 (HN)",0
717,"Kho Lệ Thủy",0
721,"Kho Quảng Trị",0
725,"Kim Thành",0
729,"Kho Tam Điệp",0
733,"BC Lê Văn Quới (HCM) ",0
737,"Kho Hương Sơn",0
741,"Kho Ninh Phước",0
745,"Kho Quảng Uyên (CB)",0
749,"Kho Bảo Lạc",0
753,"Kho Lục Nam",0
757,"Kho Hàm Thuận Bắc",0
761,"Kho Đông Hòa",0
765,"Kho Vạn Ninh",0
769,"Kho Cư Mgar",0
773,"Kho Ea Hleo",0
777,"Kho Chơn Thành",0
781,"Kho Đăk Rlấp",0
789,"Kho Đơn Dương",0
793,"Kho Bến Cát",0
797,"Kho Châu Đức",0
801,"Kho Xuân Lộc",0
809,"Kho Cần Đước",0
813,"Kho Ba Tri",0
817,"Kho Bình Đại",0
821,"Kho Bình Đại",0
825,"Kho Châu Thành - Tiền Giang",0
829,"Kho Ô Môn",0
837,"Kho Vũng Liêm",0
841,"Kho Long Phú",0
845,"Kho Vĩnh Châu ",0
849,"Kho Đầm Dơi",0
853,"Kho Tiểu Cần",0
857,"Sân bay Tân Sơn Nhất",0
861,"Sân bay Buôn Ma Thuột",0
865,"BC Quan Nhân (HN)",0
869,"BC Khâm Thiên (HN)",0
873,"BC Đại Mỗ (HN)",0
877,"BC Phạm Văn Đồng (HN)",0
881,"Bưu cục TP Bắc Ninh",0
885,"BC Nguyễn Công Trứ (HCM)",0
889,"BC Huỳnh Tấn Phát (HCM)",0
893,"Kho Gio Linh",0
897,"Kho Tuyên Hóa",0
901,"Kho Anh Sơn",0
905,"Kho Nam Đàn",0
909,"Kho Diễn Châu",0
913,"Kho Hoằng Hóa",0
917,"Kho Sầm Sơn",0
921,"Kho Nông Cống",0
925,"Kho Triệu Sơn",0
929,"Bưu cục TP Thái Nguyên",0
933,"BC Thanh Hóa",0
937,"BC Vinh",0
941,"BC TP Bắc Ninh",0
945,"BC Từ Sơn",0
949,"BC Tiên Du",0
953,"BC Bắc Giang",0
957,"BC TP Thái Nguyên",0
961,"BC TP Sông Công",0
965,"Kho Hội An",0
969,"BC Vĩnh Yên",0
973,"Bưu cục TP Việt Trì",0
977,"BC Hà Giang",0
981,"BC Bắc Kạn",0
985,"Kho Núi Thành",0
989,"BC Cao Bằng",0
993,"BC Tuyên Quang",0
997,"BC Lạng Sơn",0
1001,"BC Phúc Yên",0
1005,"BC Thuận Thành",0
1009,"Kho Tam Dương",0
1013,"Kho Sơn Dương",0
1017,"Kho Mèo Vạc",0
1021,"Kho Hoàng Su Phì",0
1025,"Kho Đồng Văn",0
1029,"Kho Quản Bạ",0
1033,"Kho Yên Minh",0
1037,"Kho Bắc Mê",0
1041,"Kho Chợ Đồn",0
1045,"Kho Na Rì",0
1049,"Kho Chợ Mới",0
1053,"Kho Đà Bắc",0
1057,"Kho Kim Bôi",0
1061,"Kho Lạc Thủy",0
1065,"Kho Bố Trạch",0
1069,"Kho Mộ Đức",0
1073,"BC Nguyễn Thị Thập (HCM)",0
1077,"Kho Bình Giang",0
1081,"BC Liên Chiểu (ĐN)",0
1085,"BC Hải Châu (ĐN)",0
1089,"BC Lý Nhân Tông (ĐN)",0
1093,"Kho Kim Sơn",0
1097,"Kho Nho Quan",0
1101,"Kho Đông Hưng",0
1105,"Kho Lý Nhân",0
1109,"Kho Duy Tiên",0
1113,"BC Phan Trọng Tuệ",0
1117,"Kho Hà Khẩu",0
1121,"Kho Củ Chi (HCM)",0
1125,"Kho Mường La",0
1129,"Kho Sốp Cộp",0
1133,"Kho Quỳnh Nhai",0
1137,"Kho Cầu Giấy (Tối)",0
1141,"BC Bình Thới (HCM)",0
1145,"BC Lũy Bán Bích (HCM)",0
1149,"BC Hải Dương",0
1153,"Kho Giao Thủy",0
1157,"Kho Nghĩa Hưng",0
1161,"Kho Nguyên Bình",0
1165,"Kho Bảo Lâm",0
1169,"Kho Giải Phóng (tối)",0
1173,"Kho Hạ Lang - CAO BẰNG",0
1177,"Kho Quang Bình",0
1181,"Kho An Thới",0
1182,"Kho Văn Quan - Lạng Sơn",0
1186,"Kho Chi Lăng - (LS)",0
1190,"Kho Tủa Chùa",0
1194,"Kho Mường Ảng",0
1198,"BC Bàu Cát (HCM)",0
1202,"BC Lê Bình (HCM)",0
1206,"Kho Long Biên (HN)",0
1210,"Kho Việt Yên",0
1211,"Kho Quảng Yên",0
1214,"BC Nguyễn Sơn (HN)",0
1216,"BC Phan Văn Trị (HCM)",0
1220,"Kho Phổ Yên",0
1224,"Kho Võ Nhai",0
1228,"Kho LỤC YÊN",0
1232,"Kho Lục Yên",0
1236,"BC Phú Diễn (HN)",0
1240,"BC Hòa Bình",0
1244,"BC Hạ Long",0
1248,"Kho Yên Lạc",0
1252,"Kho Yên Dũng",0
1256,"Kho LV - Hải Phòng",0
1260,"Kho LV - Thanh Hóa",0
1264,"Kho LV - Vinh",0
1265,"Sân bay Điện Biên Phủ",0
1266,"Sân bay Thọ Xuân",0
1267,"Sân bay Vinh",0
1268,"Kho LV - Đà Nẵng",1
1269,"Kho Tân Yên (MB9.G)",0
1270,"Sân bay Phù Cát",0
1271,"Sân bay Tuy Hòa",0
1272,"Sân bay Pleiku",0
1273,"Kho Yên Thế",0
1274,"Sân bay Côn Đảo",0
1275,"Sân bay Rạch Giá",0
1276,"Sân bay Phú Quốc",0
1277,"Kho LV - Thuận An",0
1368,"Sân bay Phú Bài",0
1369,"Sân bay Chu Lai",0
1373,"Sân bay Cà Mau",0
1377,"Kho Yên Bình",0
